months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount
84,30,2000,1827.38,0,MALE,polo,0,-15900,Vehicle Theft,missing,Trivial Damage,Police,9,1,YES,1,3,missing,4620
134,36,1000,1497.41,0,MALE,kayaking,14100,-44500,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,17,3,NO,2,0,YES,77200
451,61,2000,1618.65,2000000,FEMALE,polo,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,YES,2,1,YES,78100
334,46,1000,876.88,6000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,1,NO,2,1,NO,57330
344,51,2000,1398.46,0,MALE,skydiving,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,missing,0,2,NO,82830
255,46,500,1302.34,0,FEMALE,video-games,0,-52600,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,2,3,NO,1,0,NO,57860
8,21,500,1021.9,0,MALE,hiking,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,missing,0,0,missing,91260
239,39,500,1396.83,0,FEMALE,reading,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,missing,0,3,NO,76890
108,29,1000,1337.92,0,FEMALE,bungie-jumping,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380
189,36,2000,1388.58,0,FEMALE,basketball,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,missing,1,3,YES,79560
137,31,2000,1340.43,0,MALE,paintball,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800
343,52,1000,1053.02,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,missing,0,2,NO,47630
27,32,500,1008.38,0,FEMALE,yachting,37900,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,1,0,missing,61500
77,27,2000,966.26,0,FEMALE,base-jumping,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,YES,0,0,missing,67200
10,26,2000,765.64,0,MALE,base-jumping,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,0,3,missing,31350
39,22,500,1173.21,0,MALE,polo,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,YES,0,1,YES,86130
134,30,2000,1443.32,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,missing,0,2,YES,47790
97,26,1000,1252.08,0,MALE,sleeping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,2,2,NO,50400
212,42,500,1315.68,0,MALE,camping,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,missing,42300
148,30,500,1471.24,0,FEMALE,camping,57500,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,NO,2,2,NO,32480
354,48,2000,1526.11,5000000,FEMALE,exercise,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,12,1,missing,2,3,YES,90240
64,25,1000,954.16,0,MALE,video-games,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,missing,75600
169,34,500,1469.75,0,FEMALE,reading,0,-57600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,missing,0,0,YES,38700
235,39,500,1046.58,4000000,MALE,exercise,0,-31700,Vehicle Theft,missing,Trivial Damage,None,1,1,missing,2,1,NO,4950
202,34,500,848.07,3000000,MALE,chess,31000,-30200,Vehicle Theft,missing,Minor Damage,None,5,1,YES,2,1,missing,5720
114,30,1000,1558.29,0,MALE,video-games,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,missing,77110
121,31,1000,1061.98,6000000,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250
150,30,1000,1342.02,0,MALE,polo,0,0,Parked Car,missing,Trivial Damage,None,8,1,YES,0,2,NO,4500
156,37,500,1090.65,0,MALE,golf,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,missing,1,2,YES,53400
233,41,2000,1615.14,0,FEMALE,board-games,67100,0,Vehicle Theft,missing,Minor Damage,None,6,1,NO,0,1,missing,3740
137,35,500,1107.07,0,FEMALE,movies,0,-45300,Vehicle Theft,missing,Minor Damage,Police,21,1,NO,0,0,YES,3300
256,39,1000,1351.1,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100
223,43,500,1734.09,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,None,6,1,YES,0,3,missing,5200
225,39,500,1390.72,0,MALE,paintball,83900,-52100,Parked Car,missing,Trivial Damage,None,6,1,YES,2,1,YES,5830
406,58,2000,1117.04,0,MALE,video-games,0,-42700,Multi-vehicle Collision,Front Collision,Total Loss,Other,15,3,missing,1,2,missing,65520
254,40,500,1927.87,0,MALE,yachting,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,YES,0,1,missing,43280
119,34,500,1299.18,0,FEMALE,hiking,57100,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,7,1,YES,2,1,YES,45540
386,53,500,1078.65,0,MALE,camping,36800,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,missing,2,3,YES,66660
104,30,500,1052.85,0,FEMALE,skydiving,0,-70100,Vehicle Theft,missing,Minor Damage,Police,8,1,NO,0,0,YES,4800
283,48,1000,1474.66,0,FEMALE,paintball,0,-46200,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,3,NO,6560
203,38,500,1394.43,0,FEMALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,missing,0,1,YES,55440
157,32,2000,617.11,0,MALE,reading,0,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,3,missing,1,2,NO,50800
431,54,2000,1155.55,0,FEMALE,bungie-jumping,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,missing,2,0,missing,62300
313,50,2000,1255.62,0,MALE,polo,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,18,3,YES,2,1,YES,69000
266,46,500,1270.02,0,FEMALE,skydiving,0,-45800,Parked Car,missing,Minor Damage,Police,5,1,NO,1,2,missing,2160
295,48,1000,1332.07,0,FEMALE,polo,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060
478,64,500,835.02,0,FEMALE,reading,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930
211,35,500,1040.75,0,FEMALE,paintball,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,missing,42000
228,44,1000,1583.91,6000000,MALE,board-games,66000,-46000,Vehicle Theft,missing,Minor Damage,None,20,1,NO,0,1,NO,6500
250,42,500,1055.6,0,MALE,paintball,69500,-40700,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,missing,1,1,missing,74800
155,35,1000,919.37,0,FEMALE,hiking,83600,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,0,1,missing,0,3,missing,48360
167,36,1000,949.44,0,FEMALE,camping,0,-38400,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,3,missing,0,0,NO,69680
412,56,500,1042.56,0,MALE,yachting,0,-66100,Multi-vehicle Collision,Front Collision,Total Loss,Police,19,3,NO,0,2,NO,68040
204,40,500,1256.2,0,FEMALE,hiking,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,10,3,YES,1,2,YES,41700
86,29,2000,1409.06,0,MALE,yachting,74200,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,1,NO,2,2,YES,62920
425,53,2000,912.29,0,FEMALE,paintball,42900,-39100,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,17,3,missing,1,2,missing,97080
369,53,2000,1459.93,0,FEMALE,video-games,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,2,YES,1,3,NO,77990
465,63,500,1006.99,6000000,FEMALE,board-games,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,7,1,NO,0,3,missing,43560
475,57,500,1216.56,0,MALE,skydiving,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,missing,0,2,NO,78000
234,43,500,1257.04,0,MALE,reading,0,-48800,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,NO,2,2,YES,51600
446,57,2000,1373.21,0,MALE,sleeping,42700,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,3,NO,0,0,NO,62800
122,29,1000,1629.94,0,FEMALE,skydiving,0,-47100,Parked Car,missing,Trivial Damage,None,17,1,missing,0,1,NO,3850
96,30,500,1399.27,6000000,MALE,hiking,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,missing,0,0,YES,53440
431,54,1000,1372.27,0,FEMALE,paintball,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,missing,63240
252,46,1000,1242.02,0,MALE,dancing,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,1,YES,0,2,YES,74900
202,38,2000,1132.74,0,FEMALE,exercise,0,-37500,Single Vehicle Collision,Side Collision,Major Damage,Other,12,1,YES,1,1,NO,77440
419,53,2000,736.07,6000000,MALE,chess,45700,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,4,missing,0,0,YES,62280
436,59,1000,1338.55,0,MALE,board-games,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,missing,2,2,NO,68000
37,23,500,1475.93,0,FEMALE,hiking,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660
436,60,500,1362.31,0,MALE,bungie-jumping,67600,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,16,1,NO,0,2,NO,82060
85,30,1000,796.35,0,FEMALE,video-games,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,3,YES,2,1,YES,58960
128,31,500,1045.12,0,FEMALE,cross-fit,0,-28300,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,2,3,NO,0,2,missing,69930
115,31,1000,1051.67,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,18,3,YES,0,3,NO,34160
206,42,1000,1230.76,0,MALE,yachting,0,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,2,1,missing,1,1,NO,78980
396,57,500,1351.72,0,MALE,camping,0,-49400,Parked Car,missing,Minor Damage,None,3,1,YES,1,3,missing,2640
286,41,1000,999.43,0,MALE,paintball,25800,0,Vehicle Theft,missing,Trivial Damage,Police,3,1,YES,2,0,missing,4100
224,39,1000,1128.71,0,FEMALE,sleeping,0,-47100,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,21,3,YES,2,1,missing,61800
144,35,500,1427.46,0,MALE,cross-fit,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,missing,0,0,missing,87900
292,45,1000,1358.91,0,MALE,dancing,0,0,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,7370
193,40,500,1233.85,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,23,3,missing,2,1,YES,64260
163,37,500,1178.95,6000000,FEMALE,dancing,0,-67300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,YES,2,3,YES,49400
332,47,2000,1083.01,0,MALE,paintball,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,2,0,missing,71760
405,57,1000,1132.47,4000000,MALE,exercise,46300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,21,3,missing,2,3,missing,61440
280,43,1000,1559.34,0,MALE,hiking,0,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,1,1,NO,0,2,missing,77000
230,41,1000,1464.03,0,MALE,sleeping,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,missing,2,0,missing,53040
304,49,1000,1525.86,0,FEMALE,camping,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,1,YES,1,1,YES,73370
65,29,1000,1726.91,0,MALE,basketball,0,0,Vehicle Theft,missing,Trivial Damage,None,14,1,missing,0,0,missing,7200
339,48,500,1698.51,0,MALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,1,missing,51840
29,25,2000,1352.83,0,MALE,skydiving,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890
274,43,2000,1352.31,0,MALE,basketball,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840
131,29,1000,978.27,0,FEMALE,paintball,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,5,1,missing,1,3,NO,76400
265,41,2000,1724.46,6000000,FEMALE,sleeping,81800,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,3,missing,1,3,missing,44200
468,62,500,1011.92,0,MALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,missing,64350
216,38,1000,1384.64,5000000,FEMALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,missing,2,3,NO,66600
140,32,1000,985.97,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,13,1,missing,2,3,missing,82170
135,34,2000,1687.53,0,FEMALE,base-jumping,0,-69600,Single Vehicle Collision,Side Collision,Total Loss,Fire,7,1,missing,1,2,NO,78200
253,43,500,1187.01,7000000,FEMALE,exercise,46300,-33000,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,0,1,missing,3840
127,34,500,1319.97,0,FEMALE,paintball,73700,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,1,3,missing,4700
19,29,500,1304.35,0,MALE,cross-fit,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,3,NO,0,2,missing,75400
107,26,2000,932.14,0,MALE,cross-fit,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650
153,37,500,1010.77,0,MALE,basketball,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,5,3,missing,0,3,NO,42500
261,46,1000,1245.61,0,MALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,YES,1,0,missing,59670
241,39,1000,1260.56,0,FEMALE,paintball,0,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,NO,0,2,YES,37520
235,42,500,1072.62,0,FEMALE,exercise,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,missing,2,1,YES,69100
120,34,1000,1056.71,0,FEMALE,paintball,77900,0,Parked Car,missing,Minor Damage,None,3,1,NO,2,1,missing,3770
295,48,1000,1148.73,0,FEMALE,kayaking,0,0,Parked Car,missing,Trivial Damage,None,6,1,missing,1,2,YES,5400
195,37,1000,1406.52,8000000,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,12,1,NO,0,2,NO,44200
89,32,1000,988.93,0,FEMALE,golf,27600,0,Single Vehicle Collision,Front Collision,Total Loss,Other,11,1,missing,2,3,YES,84590
194,34,1000,1193.45,0,MALE,hiking,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,missing,2,1,YES,58800
130,30,2000,1193.4,0,MALE,bungie-jumping,0,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,NO,2,3,missing,48950
38,28,1000,1019.44,0,MALE,yachting,0,-39700,Vehicle Theft,missing,Trivial Damage,None,17,1,missing,2,1,NO,7200
61,24,500,922.67,0,FEMALE,paintball,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,2,1,missing,65520
194,38,2000,1231.25,0,FEMALE,movies,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,15,3,missing,1,0,missing,53680
224,42,500,1212.75,0,FEMALE,kayaking,0,-51400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,11,1,missing,0,0,YES,55200
41,25,1000,1004.14,0,MALE,sleeping,35400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,NO,1,3,NO,48000
245,41,2000,1212.0,0,MALE,basketball,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500
160,37,500,1374.22,0,FEMALE,yachting,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930
276,46,500,1448.84,0,FEMALE,bungie-jumping,0,-50000,Parked Car,missing,Trivial Damage,Police,7,1,missing,0,1,NO,5940
147,34,1000,1275.81,0,MALE,dancing,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,2,2,missing,101010
290,48,500,1161.03,5000000,MALE,video-games,45300,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,20,2,missing,1,1,missing,41520
6,27,500,1075.71,0,FEMALE,dancing,0,-47400,Vehicle Theft,missing,Trivial Damage,Police,7,1,missing,0,1,YES,3190
239,41,1000,1325.44,7000000,FEMALE,paintball,51400,-6300,Parked Car,missing,Trivial Damage,Police,22,1,missing,0,2,YES,10790
78,31,1000,1554.64,4000000,MALE,board-games,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,1,0,NO,55660
338,47,500,1143.46,4000000,MALE,polo,0,0,Single Vehicle Collision,Front Collision,Total Loss,Other,4,1,YES,2,1,missing,58560
303,50,2000,836.11,5000000,MALE,camping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,1,4,YES,1,2,NO,72840
219,43,1000,1483.25,0,FEMALE,exercise,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,missing,70680
11,40,2000,1217.69,0,FEMALE,reading,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,missing,1,0,missing,53460
120,30,500,956.69,0,FEMALE,movies,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,missing,1,1,YES,87100
210,35,1000,1346.27,0,MALE,cross-fit,44900,-91400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,0,2,missing,58200
123,29,500,1209.63,0,FEMALE,chess,64800,-44200,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,17,1,YES,1,0,YES,73260
258,46,1000,1110.37,10000000,MALE,hiking,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,missing,47700
45,38,1000,1197.71,0,MALE,movies,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,0,missing,78240
22,21,1000,1248.05,0,FEMALE,movies,37500,-54000,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,3,YES,1,2,missing,53280
210,41,500,1222.75,0,MALE,polo,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,missing,2,0,NO,81070
62,28,1000,988.45,0,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,missing,1,1,YES,60200
295,49,500,1141.62,0,MALE,kayaking,34300,-24300,Vehicle Theft,missing,Minor Damage,None,4,1,YES,1,3,YES,4320
283,41,500,1195.01,0,FEMALE,reading,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,NO,0,2,missing,42700
154,36,2000,1313.51,7000000,FEMALE,dancing,68500,0,Vehicle Theft,missing,Trivial Damage,None,9,1,missing,2,0,missing,2800
152,33,500,942.51,0,FEMALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,1,YES,0,0,missing,70400
143,30,500,1392.39,5000000,FEMALE,dancing,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,NO,2,0,YES,54300
65,26,500,1285.03,3000000,FEMALE,camping,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,NO,1,3,missing,52200
235,39,2000,1453.61,4000000,MALE,yachting,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,10,1,missing,0,3,missing,60320
94,30,2000,1025.54,0,FEMALE,paintball,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,missing,1,3,YES,64100
380,53,2000,1166.62,6000000,MALE,bungie-jumping,0,0,Parked Car,missing,Trivial Damage,Police,23,1,NO,0,3,NO,5700
421,56,500,1935.85,4000000,MALE,reading,49500,-81100,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,7,1,missing,2,3,missing,92730
269,45,500,1330.46,0,FEMALE,sleeping,54800,-64100,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,3,missing,0,0,NO,24200
266,46,2000,1578.54,0,MALE,chess,0,-41400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,NO,1,3,YES,83490
122,34,500,1495.06,0,FEMALE,polo,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990
247,39,500,1558.29,0,FEMALE,reading,0,-49300,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,2,missing,7700
282,48,2000,1422.56,7000000,FEMALE,video-games,26900,-55300,Vehicle Theft,missing,Minor Damage,None,7,1,missing,1,2,NO,3520
105,28,500,1082.36,0,FEMALE,golf,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,12,3,NO,2,2,NO,60500
200,35,2000,1318.06,0,MALE,video-games,57300,-80600,Vehicle Theft,missing,Trivial Damage,None,13,1,NO,0,3,YES,6490
164,31,500,1114.68,0,FEMALE,reading,44500,-55900,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,0,NO,4320
231,43,2000,972.47,0,MALE,reading,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,YES,2,2,YES,77100
271,42,500,1105.49,0,FEMALE,sleeping,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,missing,2,3,missing,68310
137,30,500,1039.55,0,MALE,kayaking,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,3,missing,2,1,missing,74030
316,46,500,1219.94,7000000,FEMALE,paintball,0,-51000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,missing,0,1,YES,63100
90,31,2000,951.27,0,FEMALE,hiking,42100,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,2,1,YES,1,0,YES,75790
398,53,2000,1396.43,0,FEMALE,base-jumping,21500,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,16,1,YES,2,1,missing,47430
112,32,1000,1238.92,0,MALE,base-jumping,57800,-53700,Parked Car,missing,Trivial Damage,None,4,1,missing,0,2,missing,5060
267,43,500,1300.68,0,MALE,sleeping,49000,0,Parked Car,missing,Minor Damage,None,0,1,NO,1,3,YES,1920
165,32,500,1399.26,0,FEMALE,exercise,70500,0,Parked Car,missing,Minor Damage,Police,9,1,missing,2,0,missing,3960
253,44,2000,719.52,0,FEMALE,golf,45800,0,Parked Car,missing,Trivial Damage,None,9,1,NO,0,3,missing,5400
228,42,2000,1197.22,5000000,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,missing,0,0,missing,5070
198,34,1000,1576.41,0,MALE,kayaking,0,-55100,Single Vehicle Collision,Side Collision,Major Damage,Other,18,1,YES,1,1,YES,95000
138,30,500,1093.07,4000000,FEMALE,reading,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,0,1,missing,2,2,NO,83160
16,35,1000,1358.03,0,MALE,chess,59300,-31400,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,NO,2,1,missing,55000
165,36,2000,1247.87,0,MALE,golf,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,NO,2,2,NO,45700
150,30,1000,1677.26,0,MALE,yachting,40100,0,Vehicle Theft,missing,Trivial Damage,Police,7,1,YES,1,3,YES,4590
84,29,1000,1117.17,0,FEMALE,video-games,0,-29900,Parked Car,missing,Trivial Damage,Police,6,1,YES,2,0,YES,6820
119,28,2000,1079.92,0,MALE,hiking,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,missing,0,1,YES,53600
277,44,500,1412.31,0,MALE,board-games,0,0,Vehicle Theft,missing,Trivial Damage,Police,6,1,NO,1,3,NO,5000
66,30,500,484.67,0,FEMALE,paintball,21100,-60800,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,missing,0,2,YES,65560
194,41,500,1203.81,0,MALE,video-games,52500,-51300,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,17,3,missing,0,2,missing,95900
75,27,1000,1141.1,0,MALE,movies,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,2,missing,0,1,YES,71640
410,54,2000,714.03,0,MALE,board-games,0,-17000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,0,1,YES,0,2,NO,59520
152,33,1000,1034.27,0,FEMALE,exercise,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,NO,1,0,NO,63900
34,34,500,1295.87,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,4,3,missing,1,0,NO,50800
150,31,1000,1354.5,0,MALE,base-jumping,52800,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6,3,missing,0,3,YES,64800
274,46,1000,1372.18,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,NO,1,3,missing,90600
32,26,2000,1260.32,6000000,MALE,polo,0,-79800,Single Vehicle Collision,Side Collision,Total Loss,Fire,16,1,missing,1,2,missing,45500
41,26,1000,1383.13,0,FEMALE,exercise,46700,0,Vehicle Theft,missing,Trivial Damage,Police,12,1,YES,1,1,missing,6890
212,39,1000,1255.35,0,FEMALE,skydiving,60300,-58900,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,22,2,NO,0,3,YES,59300
61,29,1000,1115.27,0,MALE,polo,0,-66000,Parked Car,missing,Trivial Damage,None,10,1,YES,2,1,YES,5900
188,33,1000,1340.24,0,MALE,chess,0,-68800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,8,3,YES,1,0,missing,76010
134,32,1000,1000.06,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,missing,1,0,missing,82720
456,60,1000,766.19,0,FEMALE,kayaking,0,0,Parked Car,missing,Minor Damage,Police,6,1,missing,0,3,missing,5060
63,26,500,1500.04,6000000,MALE,polo,0,-36500,Vehicle Theft,missing,Minor Damage,Police,5,1,NO,0,2,YES,5160
356,47,2000,1155.97,0,MALE,camping,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,5,1,YES,0,3,missing,61490
186,38,2000,1347.31,0,FEMALE,dancing,80900,-111100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,NO,2,3,missing,73800
283,43,2000,1161.91,0,FEMALE,polo,0,-50400,Parked Car,missing,Minor Damage,None,9,1,missing,0,3,NO,5850
22,29,2000,1238.62,6000000,MALE,yachting,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,missing,2,3,missing,70800
