months_as_customer,age,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups
294,46,1532.8,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,3,YES,65780,0-500
199,37,1262.08,0,MALE,video-games,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,missing,0,3,NO,60170,0-500
428,59,1344.36,7000000,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,8,1,missing,2,3,NO,6500,0-500
154,34,1041.36,0,FEMALE,cross-fit,53100,-43900,Multi-vehicle Collision,Side Collision,Total Loss,Other,18,4,missing,2,3,YES,74360,501-1000
214,41,1398.51,4000000,MALE,polo,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,missing,2,0,NO,64000,0-500
298,49,1451.01,0,FEMALE,exercise,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,0-500
313,47,1556.17,0,MALE,reading,63900,-53300,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,20,1,YES,1,3,NO,40260,501-1000
9,30,1073.83,0,FEMALE,dancing,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,missing,0,0,NO,85690,501-1000
249,43,1148.58,0,FEMALE,golf,0,-71200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,4,3,YES,2,1,YES,57100,1501-2000
38,28,1122.95,4000000,MALE,golf,78000,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,0,3,YES,74880,0-500
146,31,1082.72,0,FEMALE,video-games,61400,-57500,Vehicle Theft,missing,Minor Damage,None,3,1,YES,2,0,NO,5220,1501-2000
217,39,1530.52,0,MALE,basketball,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,missing,2,1,YES,4300,501-1000
84,30,1827.38,0,MALE,polo,0,-15900,Vehicle Theft,missing,Trivial Damage,Police,9,1,YES,1,3,missing,4620,1501-2000
134,36,1497.41,0,MALE,kayaking,14100,-44500,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,17,3,NO,2,0,YES,77200,501-1000
451,61,1618.65,2000000,FEMALE,polo,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,YES,2,1,YES,78100,1501-2000
334,46,876.88,6000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,1,NO,2,1,NO,57330,501-1000
344,51,1398.46,0,MALE,skydiving,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,missing,0,2,NO,82830,1501-2000
255,46,1302.34,0,FEMALE,video-games,0,-52600,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,2,3,NO,1,0,NO,57860,0-500
8,21,1021.9,0,MALE,hiking,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,missing,0,0,missing,91260,0-500
239,39,1396.83,0,FEMALE,reading,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,missing,0,3,NO,76890,0-500
108,29,1337.92,0,FEMALE,bungie-jumping,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,501-1000
189,36,1388.58,0,FEMALE,basketball,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,missing,1,3,YES,79560,1501-2000
137,31,1340.43,0,MALE,paintball,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,1501-2000
343,52,1053.02,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,missing,0,2,NO,47630,501-1000
27,32,1008.38,0,FEMALE,yachting,37900,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,1,0,missing,61500,0-500
77,27,966.26,0,FEMALE,base-jumping,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,YES,0,0,missing,67200,1501-2000
10,26,765.64,0,MALE,base-jumping,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,0,3,missing,31350,1501-2000
39,22,1173.21,0,MALE,polo,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,YES,0,1,YES,86130,0-500
134,30,1443.32,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,missing,0,2,YES,47790,1501-2000
97,26,1252.08,0,MALE,sleeping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,2,2,NO,50400,501-1000
212,42,1315.68,0,MALE,camping,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,missing,42300,0-500
148,30,1471.24,0,FEMALE,camping,57500,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,NO,2,2,NO,32480,0-500
354,48,1526.11,5000000,FEMALE,exercise,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,12,1,missing,2,3,YES,90240,1501-2000
64,25,954.16,0,MALE,video-games,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,missing,75600,501-1000
169,34,1469.75,0,FEMALE,reading,0,-57600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,missing,0,0,YES,38700,0-500
235,39,1046.58,4000000,MALE,exercise,0,-31700,Vehicle Theft,missing,Trivial Damage,None,1,1,missing,2,1,NO,4950,0-500
202,34,848.07,3000000,MALE,chess,31000,-30200,Vehicle Theft,missing,Minor Damage,None,5,1,YES,2,1,missing,5720,0-500
114,30,1558.29,0,MALE,video-games,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,missing,77110,501-1000
121,31,1061.98,6000000,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250,501-1000
150,30,1342.02,0,MALE,polo,0,0,Parked Car,missing,Trivial Damage,None,8,1,YES,0,2,NO,4500,501-1000
156,37,1090.65,0,MALE,golf,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,missing,1,2,YES,53400,0-500
233,41,1615.14,0,FEMALE,board-games,67100,0,Vehicle Theft,missing,Minor Damage,None,6,1,NO,0,1,missing,3740,1501-2000
137,35,1107.07,0,FEMALE,movies,0,-45300,Vehicle Theft,missing,Minor Damage,Police,21,1,NO,0,0,YES,3300,0-500
256,39,1351.1,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100,501-1000
223,43,1734.09,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,None,6,1,YES,0,3,missing,5200,0-500
225,39,1390.72,0,MALE,paintball,83900,-52100,Parked Car,missing,Trivial Damage,None,6,1,YES,2,1,YES,5830,0-500
406,58,1117.04,0,MALE,video-games,0,-42700,Multi-vehicle Collision,Front Collision,Total Loss,Other,15,3,missing,1,2,missing,65520,1501-2000
254,40,1927.87,0,MALE,yachting,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,YES,0,1,missing,43280,0-500
119,34,1299.18,0,FEMALE,hiking,57100,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,7,1,YES,2,1,YES,45540,0-500
386,53,1078.65,0,MALE,camping,36800,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,missing,2,3,YES,66660,0-500
104,30,1052.85,0,FEMALE,skydiving,0,-70100,Vehicle Theft,missing,Minor Damage,Police,8,1,NO,0,0,YES,4800,0-500
283,48,1474.66,0,FEMALE,paintball,0,-46200,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,3,NO,6560,501-1000
203,38,1394.43,0,FEMALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,missing,0,1,YES,55440,0-500
157,32,617.11,0,MALE,reading,0,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,3,missing,1,2,NO,50800,1501-2000
431,54,1155.55,0,FEMALE,bungie-jumping,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,missing,2,0,missing,62300,1501-2000
313,50,1255.62,0,MALE,polo,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,18,3,YES,2,1,YES,69000,1501-2000
266,46,1270.02,0,FEMALE,skydiving,0,-45800,Parked Car,missing,Minor Damage,Police,5,1,NO,1,2,missing,2160,0-500
295,48,1332.07,0,FEMALE,polo,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060,501-1000
478,64,835.02,0,FEMALE,reading,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0-500
211,35,1040.75,0,FEMALE,paintball,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,missing,42000,0-500
228,44,1583.91,6000000,MALE,board-games,66000,-46000,Vehicle Theft,missing,Minor Damage,None,20,1,NO,0,1,NO,6500,501-1000
250,42,1055.6,0,MALE,paintball,69500,-40700,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,missing,1,1,missing,74800,0-500
155,35,919.37,0,FEMALE,hiking,83600,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,0,1,missing,0,3,missing,48360,501-1000
167,36,949.44,0,FEMALE,camping,0,-38400,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,3,missing,0,0,NO,69680,501-1000
412,56,1042.56,0,MALE,yachting,0,-66100,Multi-vehicle Collision,Front Collision,Total Loss,Police,19,3,NO,0,2,NO,68040,0-500
204,40,1256.2,0,FEMALE,hiking,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,10,3,YES,1,2,YES,41700,0-500
86,29,1409.06,0,MALE,yachting,74200,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,1,NO,2,2,YES,62920,1501-2000
425,53,912.29,0,FEMALE,paintball,42900,-39100,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,17,3,missing,1,2,missing,97080,1501-2000
369,53,1459.93,0,FEMALE,video-games,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,2,YES,1,3,NO,77990,1501-2000
465,63,1006.99,6000000,FEMALE,board-games,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,7,1,NO,0,3,missing,43560,0-500
475,57,1216.56,0,MALE,skydiving,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,missing,0,2,NO,78000,0-500
234,43,1257.04,0,MALE,reading,0,-48800,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,NO,2,2,YES,51600,0-500
446,57,1373.21,0,MALE,sleeping,42700,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,3,NO,0,0,NO,62800,1501-2000
122,29,1629.94,0,FEMALE,skydiving,0,-47100,Parked Car,missing,Trivial Damage,None,17,1,missing,0,1,NO,3850,501-1000
96,30,1399.27,6000000,MALE,hiking,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,missing,0,0,YES,53440,0-500
431,54,1372.27,0,FEMALE,paintball,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,missing,63240,501-1000
252,46,1242.02,0,MALE,dancing,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,1,YES,0,2,YES,74900,501-1000
202,38,1132.74,0,FEMALE,exercise,0,-37500,Single Vehicle Collision,Side Collision,Major Damage,Other,12,1,YES,1,1,NO,77440,1501-2000
419,53,736.07,6000000,MALE,chess,45700,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,4,missing,0,0,YES,62280,1501-2000
436,59,1338.55,0,MALE,board-games,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,missing,2,2,NO,68000,501-1000
37,23,1475.93,0,FEMALE,hiking,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,0-500
436,60,1362.31,0,MALE,bungie-jumping,67600,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,16,1,NO,0,2,NO,82060,0-500
85,30,796.35,0,FEMALE,video-games,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,3,YES,2,1,YES,58960,501-1000
128,31,1045.12,0,FEMALE,cross-fit,0,-28300,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,2,3,NO,0,2,missing,69930,0-500
115,31,1051.67,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,18,3,YES,0,3,NO,34160,501-1000
206,42,1230.76,0,MALE,yachting,0,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,2,1,missing,1,1,NO,78980,501-1000
396,57,1351.72,0,MALE,camping,0,-49400,Parked Car,missing,Minor Damage,None,3,1,YES,1,3,missing,2640,0-500
286,41,999.43,0,MALE,paintball,25800,0,Vehicle Theft,missing,Trivial Damage,Police,3,1,YES,2,0,missing,4100,501-1000
224,39,1128.71,0,FEMALE,sleeping,0,-47100,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,21,3,YES,2,1,missing,61800,501-1000
144,35,1427.46,0,MALE,cross-fit,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,missing,0,0,missing,87900,0-500
292,45,1358.91,0,MALE,dancing,0,0,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,7370,501-1000
193,40,1233.85,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,23,3,missing,2,1,YES,64260,0-500
163,37,1178.95,6000000,FEMALE,dancing,0,-67300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,YES,2,3,YES,49400,0-500
332,47,1083.01,0,MALE,paintball,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,2,0,missing,71760,1501-2000
405,57,1132.47,4000000,MALE,exercise,46300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,21,3,missing,2,3,missing,61440,501-1000
280,43,1559.34,0,MALE,hiking,0,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,1,1,NO,0,2,missing,77000,501-1000
230,41,1464.03,0,MALE,sleeping,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,missing,2,0,missing,53040,501-1000
304,49,1525.86,0,FEMALE,camping,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,1,YES,1,1,YES,73370,501-1000
65,29,1726.91,0,MALE,basketball,0,0,Vehicle Theft,missing,Trivial Damage,None,14,1,missing,0,0,missing,7200,501-1000
339,48,1698.51,0,MALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,1,missing,51840,0-500
29,25,1352.83,0,MALE,skydiving,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890,1501-2000
274,43,1352.31,0,MALE,basketball,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840,1501-2000
131,29,978.27,0,FEMALE,paintball,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,5,1,missing,1,3,NO,76400,501-1000
265,41,1724.46,6000000,FEMALE,sleeping,81800,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,3,missing,1,3,missing,44200,1501-2000
468,62,1011.92,0,MALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,missing,64350,0-500
216,38,1384.64,5000000,FEMALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,missing,2,3,NO,66600,501-1000
140,32,985.97,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,13,1,missing,2,3,missing,82170,501-1000
135,34,1687.53,0,FEMALE,base-jumping,0,-69600,Single Vehicle Collision,Side Collision,Total Loss,Fire,7,1,missing,1,2,NO,78200,1501-2000
253,43,1187.01,7000000,FEMALE,exercise,46300,-33000,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,0,1,missing,3840,0-500
127,34,1319.97,0,FEMALE,paintball,73700,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,1,3,missing,4700,0-500
19,29,1304.35,0,MALE,cross-fit,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,3,NO,0,2,missing,75400,0-500
107,26,932.14,0,MALE,cross-fit,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,1501-2000
153,37,1010.77,0,MALE,basketball,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,5,3,missing,0,3,NO,42500,0-500
261,46,1245.61,0,MALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,YES,1,0,missing,59670,501-1000
241,39,1260.56,0,FEMALE,paintball,0,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,NO,0,2,YES,37520,501-1000
235,42,1072.62,0,FEMALE,exercise,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,missing,2,1,YES,69100,0-500
120,34,1056.71,0,FEMALE,paintball,77900,0,Parked Car,missing,Minor Damage,None,3,1,NO,2,1,missing,3770,501-1000
295,48,1148.73,0,FEMALE,kayaking,0,0,Parked Car,missing,Trivial Damage,None,6,1,missing,1,2,YES,5400,501-1000
195,37,1406.52,8000000,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,12,1,NO,0,2,NO,44200,501-1000
89,32,988.93,0,FEMALE,golf,27600,0,Single Vehicle Collision,Front Collision,Total Loss,Other,11,1,missing,2,3,YES,84590,501-1000
194,34,1193.45,0,MALE,hiking,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,missing,2,1,YES,58800,501-1000
130,30,1193.4,0,MALE,bungie-jumping,0,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,NO,2,3,missing,48950,1501-2000
38,28,1019.44,0,MALE,yachting,0,-39700,Vehicle Theft,missing,Trivial Damage,None,17,1,missing,2,1,NO,7200,501-1000
61,24,922.67,0,FEMALE,paintball,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,2,1,missing,65520,0-500
194,38,1231.25,0,FEMALE,movies,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,15,3,missing,1,0,missing,53680,1501-2000
224,42,1212.75,0,FEMALE,kayaking,0,-51400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,11,1,missing,0,0,YES,55200,0-500
41,25,1004.14,0,MALE,sleeping,35400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,NO,1,3,NO,48000,501-1000
245,41,1212.0,0,MALE,basketball,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,1501-2000
160,37,1374.22,0,FEMALE,yachting,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,0-500
276,46,1448.84,0,FEMALE,bungie-jumping,0,-50000,Parked Car,missing,Trivial Damage,Police,7,1,missing,0,1,NO,5940,0-500
147,34,1275.81,0,MALE,dancing,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,2,2,missing,101010,501-1000
290,48,1161.03,5000000,MALE,video-games,45300,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,20,2,missing,1,1,missing,41520,0-500
6,27,1075.71,0,FEMALE,dancing,0,-47400,Vehicle Theft,missing,Trivial Damage,Police,7,1,missing,0,1,YES,3190,0-500
239,41,1325.44,7000000,FEMALE,paintball,51400,-6300,Parked Car,missing,Trivial Damage,Police,22,1,missing,0,2,YES,10790,501-1000
78,31,1554.64,4000000,MALE,board-games,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,1,0,NO,55660,501-1000
338,47,1143.46,4000000,MALE,polo,0,0,Single Vehicle Collision,Front Collision,Total Loss,Other,4,1,YES,2,1,missing,58560,0-500
303,50,836.11,5000000,MALE,camping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,1,4,YES,1,2,NO,72840,1501-2000
219,43,1483.25,0,FEMALE,exercise,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,missing,70680,501-1000
11,40,1217.69,0,FEMALE,reading,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,missing,1,0,missing,53460,1501-2000
120,30,956.69,0,FEMALE,movies,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,missing,1,1,YES,87100,0-500
210,35,1346.27,0,MALE,cross-fit,44900,-91400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,0,2,missing,58200,501-1000
123,29,1209.63,0,FEMALE,chess,64800,-44200,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,17,1,YES,1,0,YES,73260,0-500
258,46,1110.37,10000000,MALE,hiking,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,missing,47700,501-1000
45,38,1197.71,0,MALE,movies,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,0,missing,78240,501-1000
22,21,1248.05,0,FEMALE,movies,37500,-54000,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,3,YES,1,2,missing,53280,501-1000
210,41,1222.75,0,MALE,polo,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,missing,2,0,NO,81070,0-500
62,28,988.45,0,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,missing,1,1,YES,60200,501-1000
295,49,1141.62,0,MALE,kayaking,34300,-24300,Vehicle Theft,missing,Minor Damage,None,4,1,YES,1,3,YES,4320,0-500
283,41,1195.01,0,FEMALE,reading,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,NO,0,2,missing,42700,0-500
154,36,1313.51,7000000,FEMALE,dancing,68500,0,Vehicle Theft,missing,Trivial Damage,None,9,1,missing,2,0,missing,2800,1501-2000
152,33,942.51,0,FEMALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,1,YES,0,0,missing,70400,0-500
143,30,1392.39,5000000,FEMALE,dancing,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,NO,2,0,YES,54300,0-500
65,26,1285.03,3000000,FEMALE,camping,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,NO,1,3,missing,52200,0-500
235,39,1453.61,4000000,MALE,yachting,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,10,1,missing,0,3,missing,60320,1501-2000
94,30,1025.54,0,FEMALE,paintball,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,missing,1,3,YES,64100,1501-2000
380,53,1166.62,6000000,MALE,bungie-jumping,0,0,Parked Car,missing,Trivial Damage,Police,23,1,NO,0,3,NO,5700,1501-2000
421,56,1935.85,4000000,MALE,reading,49500,-81100,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,7,1,missing,2,3,missing,92730,0-500
269,45,1330.46,0,FEMALE,sleeping,54800,-64100,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,3,missing,0,0,NO,24200,0-500
266,46,1578.54,0,MALE,chess,0,-41400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,NO,1,3,YES,83490,1501-2000
122,34,1495.06,0,FEMALE,polo,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990,0-500
247,39,1558.29,0,FEMALE,reading,0,-49300,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,2,missing,7700,0-500
282,48,1422.56,7000000,FEMALE,video-games,26900,-55300,Vehicle Theft,missing,Minor Damage,None,7,1,missing,1,2,NO,3520,1501-2000
105,28,1082.36,0,FEMALE,golf,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,12,3,NO,2,2,NO,60500,0-500
200,35,1318.06,0,MALE,video-games,57300,-80600,Vehicle Theft,missing,Trivial Damage,None,13,1,NO,0,3,YES,6490,1501-2000
164,31,1114.68,0,FEMALE,reading,44500,-55900,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,0,NO,4320,0-500
231,43,972.47,0,MALE,reading,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,YES,2,2,YES,77100,1501-2000
271,42,1105.49,0,FEMALE,sleeping,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,missing,2,3,missing,68310,0-500
137,30,1039.55,0,MALE,kayaking,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,3,missing,2,1,missing,74030,0-500
316,46,1219.94,7000000,FEMALE,paintball,0,-51000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,missing,0,1,YES,63100,0-500
90,31,951.27,0,FEMALE,hiking,42100,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,2,1,YES,1,0,YES,75790,1501-2000
398,53,1396.43,0,FEMALE,base-jumping,21500,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,16,1,YES,2,1,missing,47430,1501-2000
112,32,1238.92,0,MALE,base-jumping,57800,-53700,Parked Car,missing,Trivial Damage,None,4,1,missing,0,2,missing,5060,501-1000
267,43,1300.68,0,MALE,sleeping,49000,0,Parked Car,missing,Minor Damage,None,0,1,NO,1,3,YES,1920,0-500
165,32,1399.26,0,FEMALE,exercise,70500,0,Parked Car,missing,Minor Damage,Police,9,1,missing,2,0,missing,3960,0-500
253,44,719.52,0,FEMALE,golf,45800,0,Parked Car,missing,Trivial Damage,None,9,1,NO,0,3,missing,5400,1501-2000
228,42,1197.22,5000000,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,missing,0,0,missing,5070,1501-2000
198,34,1576.41,0,MALE,kayaking,0,-55100,Single Vehicle Collision,Side Collision,Major Damage,Other,18,1,YES,1,1,YES,95000,501-1000
138,30,1093.07,4000000,FEMALE,reading,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,0,1,missing,2,2,NO,83160,0-500
16,35,1358.03,0,MALE,chess,59300,-31400,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,NO,2,1,missing,55000,501-1000
165,36,1247.87,0,MALE,golf,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,NO,2,2,NO,45700,1501-2000
150,30,1677.26,0,MALE,yachting,40100,0,Vehicle Theft,missing,Trivial Damage,Police,7,1,YES,1,3,YES,4590,501-1000
84,29,1117.17,0,FEMALE,video-games,0,-29900,Parked Car,missing,Trivial Damage,Police,6,1,YES,2,0,YES,6820,501-1000
119,28,1079.92,0,MALE,hiking,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,missing,0,1,YES,53600,1501-2000
277,44,1412.31,0,MALE,board-games,0,0,Vehicle Theft,missing,Trivial Damage,Police,6,1,NO,1,3,NO,5000,0-500
66,30,484.67,0,FEMALE,paintball,21100,-60800,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,missing,0,2,YES,65560,0-500
194,41,1203.81,0,MALE,video-games,52500,-51300,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,17,3,missing,0,2,missing,95900,0-500
