months_as_customer,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups,age_groups
186,1218.56,0,FEMALE,video-games,39300,-60300,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,YES,2,2,missing,68760,1501-2000,36-40
153,991.39,0,MALE,paintball,45600,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,0,3,missing,1,0,NO,77770,0-500,31-35
114,1173.25,0,FEMALE,dancing,0,-34700,Vehicle Theft,missing,Minor Damage,None,3,1,NO,0,3,YES,4680,501-1000,26-30
247,1101.51,0,FEMALE,camping,64000,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,NO,2,2,NO,69480,1501-2000,41-45
257,929.7,6000000,FEMALE,base-jumping,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,missing,2,2,YES,63240,1501-2000,41-45
20,1390.29,0,FEMALE,polo,0,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,NO,0,0,missing,62900,501-1000,21-25
212,1524.45,0,FEMALE,golf,73200,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,0,2,YES,82400,501-1000,36-40
241,1104.5,0,FEMALE,basketball,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,1501-2000,41-45
195,1393.57,0,MALE,movies,47600,-39600,Parked Car,missing,Minor Damage,Police,5,1,NO,0,1,YES,2640,501-1000,36-40
294,1532.8,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,3,YES,65780,0-500,46-50
199,1262.08,0,MALE,video-games,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,missing,0,3,NO,60170,0-500,36-40
428,1344.36,7000000,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,8,1,missing,2,3,NO,6500,0-500,56-60
154,1041.36,0,FEMALE,cross-fit,53100,-43900,Multi-vehicle Collision,Side Collision,Total Loss,Other,18,4,missing,2,3,YES,74360,501-1000,31-35
214,1398.51,4000000,MALE,polo,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,missing,2,0,NO,64000,0-500,41-45
298,1451.01,0,FEMALE,exercise,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,0-500,46-50
313,1556.17,0,MALE,reading,63900,-53300,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,20,1,YES,1,3,NO,40260,501-1000,46-50
9,1073.83,0,FEMALE,dancing,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,missing,0,0,NO,85690,501-1000,26-30
249,1148.58,0,FEMALE,golf,0,-71200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,4,3,YES,2,1,YES,57100,1501-2000,41-45
38,1122.95,4000000,MALE,golf,78000,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,0,3,YES,74880,0-500,26-30
146,1082.72,0,FEMALE,video-games,61400,-57500,Vehicle Theft,missing,Minor Damage,None,3,1,YES,2,0,NO,5220,1501-2000,31-35
217,1530.52,0,MALE,basketball,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,missing,2,1,YES,4300,501-1000,36-40
84,1827.38,0,MALE,polo,0,-15900,Vehicle Theft,missing,Trivial Damage,Police,9,1,YES,1,3,missing,4620,1501-2000,26-30
134,1497.41,0,MALE,kayaking,14100,-44500,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,17,3,NO,2,0,YES,77200,501-1000,36-40
451,1618.65,2000000,FEMALE,polo,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,YES,2,1,YES,78100,1501-2000,61-65
334,876.88,6000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,1,NO,2,1,NO,57330,501-1000,46-50
344,1398.46,0,MALE,skydiving,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,missing,0,2,NO,82830,1501-2000,51-55
255,1302.34,0,FEMALE,video-games,0,-52600,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,2,3,NO,1,0,NO,57860,0-500,46-50
8,1021.9,0,MALE,hiking,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,missing,0,0,missing,91260,0-500,21-25
239,1396.83,0,FEMALE,reading,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,missing,0,3,NO,76890,0-500,36-40
108,1337.92,0,FEMALE,bungie-jumping,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,501-1000,26-30
189,1388.58,0,FEMALE,basketball,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,missing,1,3,YES,79560,1501-2000,36-40
137,1340.43,0,MALE,paintball,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,1501-2000,31-35
343,1053.02,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,missing,0,2,NO,47630,501-1000,51-55
27,1008.38,0,FEMALE,yachting,37900,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,1,0,missing,61500,0-500,31-35
77,966.26,0,FEMALE,base-jumping,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,YES,0,0,missing,67200,1501-2000,26-30
10,765.64,0,MALE,base-jumping,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,0,3,missing,31350,1501-2000,26-30
39,1173.21,0,MALE,polo,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,YES,0,1,YES,86130,0-500,21-25
134,1443.32,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,missing,0,2,YES,47790,1501-2000,26-30
97,1252.08,0,MALE,sleeping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,2,2,NO,50400,501-1000,26-30
212,1315.68,0,MALE,camping,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,missing,42300,0-500,41-45
148,1471.24,0,FEMALE,camping,57500,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,NO,2,2,NO,32480,0-500,26-30
354,1526.11,5000000,FEMALE,exercise,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,12,1,missing,2,3,YES,90240,1501-2000,46-50
64,954.16,0,MALE,video-games,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,missing,75600,501-1000,21-25
169,1469.75,0,FEMALE,reading,0,-57600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,missing,0,0,YES,38700,0-500,31-35
235,1046.58,4000000,MALE,exercise,0,-31700,Vehicle Theft,missing,Trivial Damage,None,1,1,missing,2,1,NO,4950,0-500,36-40
202,848.07,3000000,MALE,chess,31000,-30200,Vehicle Theft,missing,Minor Damage,None,5,1,YES,2,1,missing,5720,0-500,31-35
114,1558.29,0,MALE,video-games,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,missing,77110,501-1000,26-30
121,1061.98,6000000,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250,501-1000,31-35
150,1342.02,0,MALE,polo,0,0,Parked Car,missing,Trivial Damage,None,8,1,YES,0,2,NO,4500,501-1000,26-30
156,1090.65,0,MALE,golf,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,missing,1,2,YES,53400,0-500,36-40
233,1615.14,0,FEMALE,board-games,67100,0,Vehicle Theft,missing,Minor Damage,None,6,1,NO,0,1,missing,3740,1501-2000,41-45
137,1107.07,0,FEMALE,movies,0,-45300,Vehicle Theft,missing,Minor Damage,Police,21,1,NO,0,0,YES,3300,0-500,31-35
256,1351.1,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100,501-1000,36-40
223,1734.09,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,None,6,1,YES,0,3,missing,5200,0-500,41-45
225,1390.72,0,MALE,paintball,83900,-52100,Parked Car,missing,Trivial Damage,None,6,1,YES,2,1,YES,5830,0-500,36-40
406,1117.04,0,MALE,video-games,0,-42700,Multi-vehicle Collision,Front Collision,Total Loss,Other,15,3,missing,1,2,missing,65520,1501-2000,56-60
254,1927.87,0,MALE,yachting,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,YES,0,1,missing,43280,0-500,36-40
119,1299.18,0,FEMALE,hiking,57100,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,7,1,YES,2,1,YES,45540,0-500,31-35
386,1078.65,0,MALE,camping,36800,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,missing,2,3,YES,66660,0-500,51-55
104,1052.85,0,FEMALE,skydiving,0,-70100,Vehicle Theft,missing,Minor Damage,Police,8,1,NO,0,0,YES,4800,0-500,26-30
283,1474.66,0,FEMALE,paintball,0,-46200,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,3,NO,6560,501-1000,46-50
203,1394.43,0,FEMALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,missing,0,1,YES,55440,0-500,36-40
157,617.11,0,MALE,reading,0,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,3,missing,1,2,NO,50800,1501-2000,31-35
431,1155.55,0,FEMALE,bungie-jumping,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,missing,2,0,missing,62300,1501-2000,51-55
313,1255.62,0,MALE,polo,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,18,3,YES,2,1,YES,69000,1501-2000,46-50
266,1270.02,0,FEMALE,skydiving,0,-45800,Parked Car,missing,Minor Damage,Police,5,1,NO,1,2,missing,2160,0-500,46-50
295,1332.07,0,FEMALE,polo,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060,501-1000,46-50
478,835.02,0,FEMALE,reading,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0-500,61-65
211,1040.75,0,FEMALE,paintball,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,missing,42000,0-500,31-35
228,1583.91,6000000,MALE,board-games,66000,-46000,Vehicle Theft,missing,Minor Damage,None,20,1,NO,0,1,NO,6500,501-1000,41-45
250,1055.6,0,MALE,paintball,69500,-40700,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,missing,1,1,missing,74800,0-500,41-45
155,919.37,0,FEMALE,hiking,83600,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,0,1,missing,0,3,missing,48360,501-1000,31-35
167,949.44,0,FEMALE,camping,0,-38400,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,3,missing,0,0,NO,69680,501-1000,36-40
412,1042.56,0,MALE,yachting,0,-66100,Multi-vehicle Collision,Front Collision,Total Loss,Police,19,3,NO,0,2,NO,68040,0-500,56-60
204,1256.2,0,FEMALE,hiking,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,10,3,YES,1,2,YES,41700,0-500,36-40
86,1409.06,0,MALE,yachting,74200,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,1,NO,2,2,YES,62920,1501-2000,26-30
425,912.29,0,FEMALE,paintball,42900,-39100,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,17,3,missing,1,2,missing,97080,1501-2000,51-55
369,1459.93,0,FEMALE,video-games,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,2,YES,1,3,NO,77990,1501-2000,51-55
465,1006.99,6000000,FEMALE,board-games,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,7,1,NO,0,3,missing,43560,0-500,61-65
475,1216.56,0,MALE,skydiving,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,missing,0,2,NO,78000,0-500,56-60
234,1257.04,0,MALE,reading,0,-48800,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,NO,2,2,YES,51600,0-500,41-45
446,1373.21,0,MALE,sleeping,42700,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,3,NO,0,0,NO,62800,1501-2000,56-60
122,1629.94,0,FEMALE,skydiving,0,-47100,Parked Car,missing,Trivial Damage,None,17,1,missing,0,1,NO,3850,501-1000,26-30
96,1399.27,6000000,MALE,hiking,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,missing,0,0,YES,53440,0-500,26-30
431,1372.27,0,FEMALE,paintball,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,missing,63240,501-1000,51-55
252,1242.02,0,MALE,dancing,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,1,YES,0,2,YES,74900,501-1000,46-50
202,1132.74,0,FEMALE,exercise,0,-37500,Single Vehicle Collision,Side Collision,Major Damage,Other,12,1,YES,1,1,NO,77440,1501-2000,36-40
419,736.07,6000000,MALE,chess,45700,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,4,missing,0,0,YES,62280,1501-2000,51-55
436,1338.55,0,MALE,board-games,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,missing,2,2,NO,68000,501-1000,56-60
37,1475.93,0,FEMALE,hiking,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,0-500,21-25
436,1362.31,0,MALE,bungie-jumping,67600,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,16,1,NO,0,2,NO,82060,0-500,56-60
85,796.35,0,FEMALE,video-games,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,3,YES,2,1,YES,58960,501-1000,26-30
128,1045.12,0,FEMALE,cross-fit,0,-28300,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,2,3,NO,0,2,missing,69930,0-500,31-35
115,1051.67,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,18,3,YES,0,3,NO,34160,501-1000,31-35
206,1230.76,0,MALE,yachting,0,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,2,1,missing,1,1,NO,78980,501-1000,41-45
396,1351.72,0,MALE,camping,0,-49400,Parked Car,missing,Minor Damage,None,3,1,YES,1,3,missing,2640,0-500,56-60
286,999.43,0,MALE,paintball,25800,0,Vehicle Theft,missing,Trivial Damage,Police,3,1,YES,2,0,missing,4100,501-1000,41-45
224,1128.71,0,FEMALE,sleeping,0,-47100,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,21,3,YES,2,1,missing,61800,501-1000,36-40
144,1427.46,0,MALE,cross-fit,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,missing,0,0,missing,87900,0-500,31-35
292,1358.91,0,MALE,dancing,0,0,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,7370,501-1000,41-45
193,1233.85,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,23,3,missing,2,1,YES,64260,0-500,36-40
163,1178.95,6000000,FEMALE,dancing,0,-67300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,YES,2,3,YES,49400,0-500,36-40
332,1083.01,0,MALE,paintball,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,2,0,missing,71760,1501-2000,46-50
405,1132.47,4000000,MALE,exercise,46300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,21,3,missing,2,3,missing,61440,501-1000,56-60
280,1559.34,0,MALE,hiking,0,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,1,1,NO,0,2,missing,77000,501-1000,41-45
230,1464.03,0,MALE,sleeping,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,missing,2,0,missing,53040,501-1000,41-45
304,1525.86,0,FEMALE,camping,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,1,YES,1,1,YES,73370,501-1000,46-50
65,1726.91,0,MALE,basketball,0,0,Vehicle Theft,missing,Trivial Damage,None,14,1,missing,0,0,missing,7200,501-1000,26-30
339,1698.51,0,MALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,1,missing,51840,0-500,46-50
29,1352.83,0,MALE,skydiving,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890,1501-2000,21-25
274,1352.31,0,MALE,basketball,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840,1501-2000,41-45
131,978.27,0,FEMALE,paintball,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,5,1,missing,1,3,NO,76400,501-1000,26-30
265,1724.46,6000000,FEMALE,sleeping,81800,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,3,missing,1,3,missing,44200,1501-2000,41-45
468,1011.92,0,MALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,missing,64350,0-500,61-65
216,1384.64,5000000,FEMALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,missing,2,3,NO,66600,501-1000,36-40
140,985.97,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,13,1,missing,2,3,missing,82170,501-1000,31-35
135,1687.53,0,FEMALE,base-jumping,0,-69600,Single Vehicle Collision,Side Collision,Total Loss,Fire,7,1,missing,1,2,NO,78200,1501-2000,31-35
253,1187.01,7000000,FEMALE,exercise,46300,-33000,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,0,1,missing,3840,0-500,41-45
127,1319.97,0,FEMALE,paintball,73700,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,1,3,missing,4700,0-500,31-35
19,1304.35,0,MALE,cross-fit,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,3,NO,0,2,missing,75400,0-500,26-30
107,932.14,0,MALE,cross-fit,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,1501-2000,26-30
153,1010.77,0,MALE,basketball,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,5,3,missing,0,3,NO,42500,0-500,36-40
261,1245.61,0,MALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,YES,1,0,missing,59670,501-1000,46-50
241,1260.56,0,FEMALE,paintball,0,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,NO,0,2,YES,37520,501-1000,36-40
235,1072.62,0,FEMALE,exercise,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,missing,2,1,YES,69100,0-500,41-45
120,1056.71,0,FEMALE,paintball,77900,0,Parked Car,missing,Minor Damage,None,3,1,NO,2,1,missing,3770,501-1000,31-35
295,1148.73,0,FEMALE,kayaking,0,0,Parked Car,missing,Trivial Damage,None,6,1,missing,1,2,YES,5400,501-1000,46-50
195,1406.52,8000000,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,12,1,NO,0,2,NO,44200,501-1000,36-40
89,988.93,0,FEMALE,golf,27600,0,Single Vehicle Collision,Front Collision,Total Loss,Other,11,1,missing,2,3,YES,84590,501-1000,31-35
194,1193.45,0,MALE,hiking,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,missing,2,1,YES,58800,501-1000,31-35
130,1193.4,0,MALE,bungie-jumping,0,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,NO,2,3,missing,48950,1501-2000,26-30
38,1019.44,0,MALE,yachting,0,-39700,Vehicle Theft,missing,Trivial Damage,None,17,1,missing,2,1,NO,7200,501-1000,26-30
61,922.67,0,FEMALE,paintball,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,2,1,missing,65520,0-500,21-25
194,1231.25,0,FEMALE,movies,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,15,3,missing,1,0,missing,53680,1501-2000,36-40
224,1212.75,0,FEMALE,kayaking,0,-51400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,11,1,missing,0,0,YES,55200,0-500,41-45
41,1004.14,0,MALE,sleeping,35400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,NO,1,3,NO,48000,501-1000,21-25
245,1212.0,0,MALE,basketball,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,1501-2000,41-45
160,1374.22,0,FEMALE,yachting,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,0-500,36-40
276,1448.84,0,FEMALE,bungie-jumping,0,-50000,Parked Car,missing,Trivial Damage,Police,7,1,missing,0,1,NO,5940,0-500,46-50
147,1275.81,0,MALE,dancing,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,2,2,missing,101010,501-1000,31-35
290,1161.03,5000000,MALE,video-games,45300,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,20,2,missing,1,1,missing,41520,0-500,46-50
6,1075.71,0,FEMALE,dancing,0,-47400,Vehicle Theft,missing,Trivial Damage,Police,7,1,missing,0,1,YES,3190,0-500,26-30
239,1325.44,7000000,FEMALE,paintball,51400,-6300,Parked Car,missing,Trivial Damage,Police,22,1,missing,0,2,YES,10790,501-1000,41-45
78,1554.64,4000000,MALE,board-games,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,1,0,NO,55660,501-1000,31-35
338,1143.46,4000000,MALE,polo,0,0,Single Vehicle Collision,Front Collision,Total Loss,Other,4,1,YES,2,1,missing,58560,0-500,46-50
303,836.11,5000000,MALE,camping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,1,4,YES,1,2,NO,72840,1501-2000,46-50
219,1483.25,0,FEMALE,exercise,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,missing,70680,501-1000,41-45
11,1217.69,0,FEMALE,reading,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,missing,1,0,missing,53460,1501-2000,36-40
120,956.69,0,FEMALE,movies,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,missing,1,1,YES,87100,0-500,26-30
210,1346.27,0,MALE,cross-fit,44900,-91400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,0,2,missing,58200,501-1000,31-35
123,1209.63,0,FEMALE,chess,64800,-44200,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,17,1,YES,1,0,YES,73260,0-500,26-30
258,1110.37,10000000,MALE,hiking,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,missing,47700,501-1000,46-50
45,1197.71,0,MALE,movies,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,0,missing,78240,501-1000,36-40
22,1248.05,0,FEMALE,movies,37500,-54000,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,3,YES,1,2,missing,53280,501-1000,21-25
210,1222.75,0,MALE,polo,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,missing,2,0,NO,81070,0-500,41-45
62,988.45,0,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,missing,1,1,YES,60200,501-1000,26-30
295,1141.62,0,MALE,kayaking,34300,-24300,Vehicle Theft,missing,Minor Damage,None,4,1,YES,1,3,YES,4320,0-500,46-50
283,1195.01,0,FEMALE,reading,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,NO,0,2,missing,42700,0-500,41-45
154,1313.51,7000000,FEMALE,dancing,68500,0,Vehicle Theft,missing,Trivial Damage,None,9,1,missing,2,0,missing,2800,1501-2000,36-40
152,942.51,0,FEMALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,1,YES,0,0,missing,70400,0-500,31-35
143,1392.39,5000000,FEMALE,dancing,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,NO,2,0,YES,54300,0-500,26-30
65,1285.03,3000000,FEMALE,camping,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,NO,1,3,missing,52200,0-500,26-30
235,1453.61,4000000,MALE,yachting,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,10,1,missing,0,3,missing,60320,1501-2000,36-40
94,1025.54,0,FEMALE,paintball,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,missing,1,3,YES,64100,1501-2000,26-30
380,1166.62,6000000,MALE,bungie-jumping,0,0,Parked Car,missing,Trivial Damage,Police,23,1,NO,0,3,NO,5700,1501-2000,51-55
421,1935.85,4000000,MALE,reading,49500,-81100,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,7,1,missing,2,3,missing,92730,0-500,56-60
269,1330.46,0,FEMALE,sleeping,54800,-64100,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,3,missing,0,0,NO,24200,0-500,41-45
266,1578.54,0,MALE,chess,0,-41400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,NO,1,3,YES,83490,1501-2000,46-50
122,1495.06,0,FEMALE,polo,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990,0-500,31-35
247,1558.29,0,FEMALE,reading,0,-49300,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,2,missing,7700,0-500,36-40
282,1422.56,7000000,FEMALE,video-games,26900,-55300,Vehicle Theft,missing,Minor Damage,None,7,1,missing,1,2,NO,3520,1501-2000,46-50
105,1082.36,0,FEMALE,golf,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,12,3,NO,2,2,NO,60500,0-500,26-30
200,1318.06,0,MALE,video-games,57300,-80600,Vehicle Theft,missing,Trivial Damage,None,13,1,NO,0,3,YES,6490,1501-2000,31-35
164,1114.68,0,FEMALE,reading,44500,-55900,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,0,NO,4320,0-500,31-35
231,972.47,0,MALE,reading,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,YES,2,2,YES,77100,1501-2000,41-45
271,1105.49,0,FEMALE,sleeping,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,missing,2,3,missing,68310,0-500,41-45
137,1039.55,0,MALE,kayaking,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,3,missing,2,1,missing,74030,0-500,26-30
316,1219.94,7000000,FEMALE,paintball,0,-51000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,missing,0,1,YES,63100,0-500,46-50
90,951.27,0,FEMALE,hiking,42100,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,2,1,YES,1,0,YES,75790,1501-2000,31-35
398,1396.43,0,FEMALE,base-jumping,21500,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,16,1,YES,2,1,missing,47430,1501-2000,51-55
